date_key,deal_id,deal_name,imps,oppos,total_bids,fill_rate,render_rate,requests,original_data,created_at
2025-07-25,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,365225.0,830158.0,455058.0,44.0,80.3,167747.0,"{""date_key"": ""2025-07-25"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 365225, ""real_demand_returned"": 895036, ""oppos"": 830158, ""total_bids"": 455058, ""Loss_Totals"": 584727, ""fill_rate"": 44.0, ""Requests"": 167747, ""render_rate"": 80.3, ""win_rate"": 50.8, ""candidates"": 2580972}","2025-08-04 20:24:44.699945"
2025-07-25,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,3857.0,152542.0,5653.0,2.5,68.2,47990.0,"{""date_key"": ""2025-07-25"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 3857, ""real_demand_returned"": 6526, ""oppos"": 152542, ""total_bids"": 5653, ""Loss_Totals"": 3007, ""fill_rate"": 2.5, ""Requests"": 47990, ""render_rate"": 68.2, ""win_rate"": 86.6, ""candidates"": 8314}","2025-08-04 20:24:44.700002"
2025-07-26,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,458772.0,1103759.0,560840.0,41.6,81.8,232368.0,"{""date_key"": ""2025-07-26"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 458772, ""real_demand_returned"": 1207159, ""oppos"": 1103759, ""total_bids"": 560840, ""Loss_Totals"": 823957, ""fill_rate"": 41.6, ""Requests"": 232368, ""render_rate"": 81.8, ""win_rate"": 46.5, ""candidates"": 3848592}","2025-08-04 20:24:44.700013"
2025-07-26,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,5479.0,170746.0,8157.0,3.2,67.2,53168.0,"{""date_key"": ""2025-07-26"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 5479, ""real_demand_returned"": 9563, ""oppos"": 170746, ""total_bids"": 8157, ""Loss_Totals"": 4761, ""fill_rate"": 3.2, ""Requests"": 53168, ""render_rate"": 67.2, ""win_rate"": 85.3, ""candidates"": 13090}","2025-08-04 20:24:44.700167"
2025-07-27,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,428900.0,995074.0,529610.0,43.1,81.0,207119.0,"{""date_key"": ""2025-07-27"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 428900, ""real_demand_returned"": 1033706, ""oppos"": 995074, ""total_bids"": 529610, ""Loss_Totals"": 678441, ""fill_rate"": 43.1, ""Requests"": 207119, ""render_rate"": 81.0, ""win_rate"": 51.2, ""candidates"": 3128509}","2025-08-04 20:24:44.700177"
2025-07-27,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,5298.0,193259.0,7755.0,2.7,68.3,60979.0,"{""date_key"": ""2025-07-27"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 5298, ""real_demand_returned"": 8580, ""oppos"": 193259, ""total_bids"": 7755, ""Loss_Totals"": 3642, ""fill_rate"": 2.7, ""Requests"": 60979, ""render_rate"": 68.3, ""win_rate"": 90.4, ""candidates"": 10245}","2025-08-04 20:24:44.700201"
2025-07-28,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,364514.0,890464.0,452315.0,40.9,80.6,187544.0,"{""date_key"": ""2025-07-28"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 364514, ""real_demand_returned"": 928088, ""oppos"": 890464, ""total_bids"": 452315, ""Loss_Totals"": 624893, ""fill_rate"": 40.9, ""Requests"": 187544, ""render_rate"": 80.6, ""win_rate"": 48.7, ""candidates"": 2835891}","2025-08-04 20:24:44.700215"
2025-07-28,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,4850.0,190257.0,7181.0,2.5,67.5,60025.0,"{""date_key"": ""2025-07-28"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 4850, ""real_demand_returned"": 7713, ""oppos"": 190257, ""total_bids"": 7181, ""Loss_Totals"": 3231, ""fill_rate"": 2.5, ""Requests"": 60025, ""render_rate"": 67.5, ""win_rate"": 93.1, ""candidates"": 8689}","2025-08-04 20:24:44.700271"
2025-07-29,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,299460.0,822280.0,392947.0,36.4,76.2,175147.0,"{""date_key"": ""2025-07-29"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 299460, ""real_demand_returned"": 910272, ""oppos"": 822280, ""total_bids"": 392947, ""Loss_Totals"": 651437, ""fill_rate"": 36.4, ""Requests"": 175147, ""render_rate"": 76.2, ""win_rate"": 43.2, ""candidates"": 2954493}","2025-08-04 20:24:44.700290"
2025-07-29,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,3380.0,164295.0,5148.0,2.1,65.7,51663.0,"{""date_key"": ""2025-07-29"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 3380, ""real_demand_returned"": 5543, ""oppos"": 164295, ""total_bids"": 5148, ""Loss_Totals"": 2343, ""fill_rate"": 2.1, ""Requests"": 51663, ""render_rate"": 65.7, ""win_rate"": 92.9, ""candidates"": 6045}","2025-08-04 20:24:44.700300"
2025-07-30,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,323377.0,887252.0,429661.0,36.4,75.3,186269.0,"{""date_key"": ""2025-07-30"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 323377, ""real_demand_returned"": 1016508, ""oppos"": 887252, ""total_bids"": 429661, ""Loss_Totals"": 738984, ""fill_rate"": 36.4, ""Requests"": 186269, ""render_rate"": 75.3, ""win_rate"": 42.3, ""candidates"": 3319985}","2025-08-04 20:24:44.700310"
2025-07-30,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,4485.0,170442.0,6759.0,2.6,66.4,53245.0,"{""date_key"": ""2025-07-30"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 4485, ""real_demand_returned"": 7453, ""oppos"": 170442, ""total_bids"": 6759, ""Loss_Totals"": 3224, ""fill_rate"": 2.6, ""Requests"": 53245, ""render_rate"": 66.4, ""win_rate"": 90.7, ""candidates"": 8363}","2025-08-04 20:24:44.700320"
2025-07-31,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,307849.0,829778.0,411637.0,37.1,74.8,174160.0,"{""date_key"": ""2025-07-31"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 307849, ""real_demand_returned"": 973635, ""oppos"": 829778, ""total_bids"": 411637, ""Loss_Totals"": 706088, ""fill_rate"": 37.1, ""Requests"": 174160, ""render_rate"": 74.8, ""win_rate"": 42.3, ""candidates"": 3196184}","2025-08-04 20:24:44.700331"
2025-07-31,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,3847.0,163412.0,5889.0,2.4,65.3,50888.0,"{""date_key"": ""2025-07-31"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 3847, ""real_demand_returned"": 6276, ""oppos"": 163412, ""total_bids"": 5889, ""Loss_Totals"": 2674, ""fill_rate"": 2.4, ""Requests"": 50888, ""render_rate"": 65.3, ""win_rate"": 93.8, ""candidates"": 6758}","2025-08-04 20:24:44.700390"
2025-08-01,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,309930.0,799788.0,388548.0,38.8,79.8,168311.0,"{""date_key"": ""2025-08-01"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 309930, ""real_demand_returned"": 893037, ""oppos"": 799788, ""total_bids"": 388548, ""Loss_Totals"": 624490, ""fill_rate"": 38.8, ""Requests"": 168311, ""render_rate"": 79.8, ""win_rate"": 43.5, ""candidates"": 2889059}","2025-08-04 20:24:44.700404"
2025-08-01,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,1364.0,158895.0,2531.0,0.9,53.9,49675.0,"{""date_key"": ""2025-08-01"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 1364, ""real_demand_returned"": 3441, ""oppos"": 158895, ""total_bids"": 2531, ""Loss_Totals"": 2246, ""fill_rate"": 0.9, ""Requests"": 49675, ""render_rate"": 53.9, ""win_rate"": 73.6, ""candidates"": 4032}","2025-08-04 20:24:44.700535"
2025-08-02,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,386190.0,1003247.0,478542.0,38.5,80.7,212467.0,"{""date_key"": ""2025-08-02"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 386190, ""real_demand_returned"": 1103379, ""oppos"": 1003247, ""total_bids"": 478542, ""Loss_Totals"": 783795, ""fill_rate"": 38.5, ""Requests"": 212467, ""render_rate"": 80.7, ""win_rate"": 43.4, ""candidates"": 3642743}","2025-08-04 20:24:44.700546"
2025-08-02,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,1790.0,165467.0,2774.0,1.1,64.5,52005.0,"{""date_key"": ""2025-08-02"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 1790, ""real_demand_returned"": 3802, ""oppos"": 165467, ""total_bids"": 2774, ""Loss_Totals"": 2218, ""fill_rate"": 1.1, ""Requests"": 52005, ""render_rate"": 64.5, ""win_rate"": 73.0, ""candidates"": 4326}","2025-08-04 20:24:44.700556"
2025-08-03,Mf4MMvH1Z0BOQw1el3IL,Canela_PSI_US_Deal,423249.0,1024636.0,521798.0,41.3,81.1,216538.0,"{""date_key"": ""2025-08-03"", ""deal_id"": ""Mf4MMvH1Z0BOQw1el3IL"", ""deal_name"": ""Canela_PSI_US_Deal"", ""imps"": 423249, ""real_demand_returned"": 1076350, ""oppos"": 1024636, ""total_bids"": 521798, ""Loss_Totals"": 725793, ""fill_rate"": 41.3, ""Requests"": 216538, ""render_rate"": 81.1, ""win_rate"": 48.5, ""candidates"": 3393792}","2025-08-04 20:24:44.700569"
2025-08-03,WnybvazJBX65N3TFXfkU,Canela_PSI_MX_Deal,1349.0,182037.0,2290.0,0.7,58.9,57838.0,"{""date_key"": ""2025-08-03"", ""deal_id"": ""WnybvazJBX65N3TFXfkU"", ""deal_name"": ""Canela_PSI_MX_Deal"", ""imps"": 1349, ""real_demand_returned"": 2709, ""oppos"": 182037, ""total_bids"": 2290, ""Loss_Totals"": 1483, ""fill_rate"": 0.7, ""Requests"": 57838, ""render_rate"": 58.9, ""win_rate"": 84.5, ""candidates"": 3642}","2025-08-04 20:24:44.700692"
2025-07-01,3K6B2Y3fIpxH1D8wZo8h,Fox_Sports_PSI_Deal,29890.0,147192.0,33913.0,20.3,88.1,35222.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""3K6B2Y3fIpxH1D8wZo8h"", ""deal_name"": ""Fox_Sports_PSI_Deal"", ""imps"": 29890, ""real_demand_returned"": 35193, ""oppos"": 147192, ""total_bids"": 33913, ""Loss_Totals"": 5771, ""fill_rate"": 20.3, ""Requests"": 35222, ""render_rate"": 88.1, ""win_rate"": 96.4, ""candidates"": 43815}","2025-08-04 20:26:36.623345"
2025-07-01,QWdXXizC2KkSnwVaw8kf,Fox_Masked_Singer_PSI_Deal,63087.0,545907.0,70841.0,11.6,89.1,95341.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""QWdXXizC2KkSnwVaw8kf"", ""deal_name"": ""Fox_Masked_Singer_PSI_Deal"", ""imps"": 63087, ""real_demand_returned"": 74525, ""oppos"": 545907, ""total_bids"": 70841, ""Loss_Totals"": 14368, ""fill_rate"": 11.6, ""Requests"": 95341, ""render_rate"": 89.1, ""win_rate"": 95.1, ""candidates"": 86245}","2025-08-04 20:26:36.625455"
2025-07-01,aTMeqKdGxseccByVvfLT,Fox_Soul_PSI_Deal,12.0,32107.0,20.0,0.0,60.0,8321.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""aTMeqKdGxseccByVvfLT"", ""deal_name"": ""Fox_Soul_PSI_Deal"", ""imps"": 12, ""real_demand_returned"": 20, ""oppos"": 32107, ""total_bids"": 20, ""Loss_Totals"": 9, ""fill_rate"": 0.0, ""Requests"": 8321, ""render_rate"": 60.0, ""win_rate"": 100.0, ""candidates"": 21}","2025-08-04 20:26:36.625471"
2025-07-01,hnKMuEKjPDT8pOA2v6jG,Fox_Weather_FreeWheel_PSI_Deal,765189.0,1775176.0,826087.0,43.1,92.6,318801.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""hnKMuEKjPDT8pOA2v6jG"", ""deal_name"": ""Fox_Weather_FreeWheel_PSI_Deal"", ""imps"": 765189, ""real_demand_returned"": 2023473, ""oppos"": 1775176, ""total_bids"": 826087, ""Loss_Totals"": 1422773, ""fill_rate"": 43.1, ""Requests"": 318801, ""render_rate"": 92.6, ""win_rate"": 40.8, ""candidates"": 7809112}","2025-08-04 20:26:36.625866"
2025-07-01,pKIRnmGVxw8UfbI9TLKh,Fox_Local_PSI_Deal,2128068.0,14437920.0,2323505.0,14.7,91.6,3052694.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""pKIRnmGVxw8UfbI9TLKh"", ""deal_name"": ""Fox_Local_PSI_Deal"", ""imps"": 2128068, ""real_demand_returned"": 2705930, ""oppos"": 14437920, ""total_bids"": 2323505, ""Loss_Totals"": 831203, ""fill_rate"": 14.7, ""Requests"": 3052694, ""render_rate"": 91.6, ""win_rate"": 85.9, ""candidates"": 6112806}","2025-08-04 20:26:36.626665"
2025-07-01,rcTZ0PhKU4Aydeoa6DsZ,Fox_LiveNow_PSI_Deal,432004.0,9123338.0,492032.0,4.7,87.8,2535337.0,"{""date_key"": ""2025-07-01"", ""deal_id"": ""rcTZ0PhKU4Aydeoa6DsZ"", ""deal_name"": ""Fox_LiveNow_PSI_Deal"", ""imps"": 432004, ""real_demand_returned"": 513524, ""oppos"": 9123338, ""total_bids"": 492032, ""Loss_Totals"": 98901, ""fill_rate"": 4.7, ""Requests"": 2535337, ""render_rate"": 87.8, ""win_rate"": 95.8, ""candidates"": 629723}","2025-08-04 20:26:36.626680"
2025-07-02,3K6B2Y3fIpxH1D8wZo8h,Fox_Sports_PSI_Deal,26747.0,137747.0,30721.0,19.4,87.1,33827.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""3K6B2Y3fIpxH1D8wZo8h"", ""deal_name"": ""Fox_Sports_PSI_Deal"", ""imps"": 26747, ""real_demand_returned"": 33821, ""oppos"": 137747, ""total_bids"": 30721, ""Loss_Totals"": 7866, ""fill_rate"": 19.4, ""Requests"": 33827, ""render_rate"": 87.1, ""win_rate"": 90.8, ""candidates"": 50912}","2025-08-04 20:26:36.626690"
2025-07-02,QWdXXizC2KkSnwVaw8kf,Fox_Masked_Singer_PSI_Deal,68857.0,510482.0,77024.0,13.5,89.4,89156.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""QWdXXizC2KkSnwVaw8kf"", ""deal_name"": ""Fox_Masked_Singer_PSI_Deal"", ""imps"": 68857, ""real_demand_returned"": 88695, ""oppos"": 510482, ""total_bids"": 77024, ""Loss_Totals"": 23252, ""fill_rate"": 13.5, ""Requests"": 89156, ""render_rate"": 89.4, ""win_rate"": 86.8, ""candidates"": 123338}","2025-08-04 20:26:36.626702"
2025-07-02,aTMeqKdGxseccByVvfLT,Fox_Soul_PSI_Deal,11.0,31882.0,16.0,0.0,68.8,8222.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""aTMeqKdGxseccByVvfLT"", ""deal_name"": ""Fox_Soul_PSI_Deal"", ""imps"": 11, ""real_demand_returned"": 16, ""oppos"": 31882, ""total_bids"": 16, ""Loss_Totals"": 5, ""fill_rate"": 0.0, ""Requests"": 8222, ""render_rate"": 68.8, ""win_rate"": 100.0, ""candidates"": 16}","2025-08-04 20:26:36.626725"
2025-07-02,hnKMuEKjPDT8pOA2v6jG,Fox_Weather_FreeWheel_PSI_Deal,821908.0,1795801.0,889681.0,45.8,92.4,325121.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""hnKMuEKjPDT8pOA2v6jG"", ""deal_name"": ""Fox_Weather_FreeWheel_PSI_Deal"", ""imps"": 821908, ""real_demand_returned"": 2054488, ""oppos"": 1795801, ""total_bids"": 889681, ""Loss_Totals"": 1403844, ""fill_rate"": 45.8, ""Requests"": 325121, ""render_rate"": 92.4, ""win_rate"": 43.3, ""candidates"": 7807747}","2025-08-04 20:26:36.626739"
2025-07-02,pKIRnmGVxw8UfbI9TLKh,Fox_Local_PSI_Deal,2196296.0,14298072.0,2405949.0,15.4,91.3,3044512.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""pKIRnmGVxw8UfbI9TLKh"", ""deal_name"": ""Fox_Local_PSI_Deal"", ""imps"": 2196296, ""real_demand_returned"": 2824021, ""oppos"": 14298072, ""total_bids"": 2405949, ""Loss_Totals"": 902265, ""fill_rate"": 15.4, ""Requests"": 3044512, ""render_rate"": 91.3, ""win_rate"": 85.2, ""candidates"": 6314580}","2025-08-04 20:26:36.626754"
2025-07-02,rcTZ0PhKU4Aydeoa6DsZ,Fox_LiveNow_PSI_Deal,465226.0,8144794.0,535297.0,5.7,86.9,2240116.0,"{""date_key"": ""2025-07-02"", ""deal_id"": ""rcTZ0PhKU4Aydeoa6DsZ"", ""deal_name"": ""Fox_LiveNow_PSI_Deal"", ""imps"": 465226, ""real_demand_returned"": 560853, ""oppos"": 8144794, ""total_bids"": 535297, ""Loss_Totals"": 111288, ""fill_rate"": 5.7, ""Requests"": 2240116, ""render_rate"": 86.9, ""win_rate"": 95.4, ""candidates"": 687569}","2025-08-04 20:26:36.626763"
2025-07-03,3K6B2Y3fIpxH1D8wZo8h,Fox_Sports_PSI_Deal,27985.0,142070.0,31877.0,19.7,87.8,34018.0,"{""date_key"": ""2025-07-03"", ""deal_id"": ""3K6B2Y3fIpxH1D8wZo8h"", ""deal_name"": ""Fox_Sports_PSI_Deal"", ""imps"": 27985, ""real_demand_returned"": 33898, ""oppos"": 142070, ""total_bids"": 31877, ""Loss_Totals"": 7364, ""fill_rate"": 19.7, ""Requests"": 34018, ""render_rate"": 87.8, ""win_rate"": 94.0, ""candidates"": 47435}","2025-08-04 20:26:36.626775"
2025-07-03,QWdXXizC2KkSnwVaw8kf,Fox_Masked_Singer_PSI_Deal,71615.0,572341.0,80034.0,12.5,89.5,99090.0,"{""date_key"": ""2025-07-03"", ""deal_id"": ""QWdXXizC2KkSnwVaw8kf"", ""deal_name"": ""Fox_Masked_Singer_PSI_Deal"", ""imps"": 71615, ""real_demand_returned"": 98567, ""oppos"": 572341, ""total_bids"": 80034, ""Loss_Totals"": 31255, ""fill_rate"": 12.5, ""Requests"": 99090, ""render_rate"": 89.5, ""win_rate"": 81.2, ""candidates"": 156829}","2025-08-04 20:26:36.626795"
2025-07-03,aTMeqKdGxseccByVvfLT,Fox_Soul_PSI_Deal,6.0,33059.0,8.0,0.0,75.0,8435.0,"{""date_key"": ""2025-07-03"", ""deal_id"": ""aTMeqKdGxseccByVvfLT"", ""deal_name"": ""Fox_Soul_PSI_Deal"", ""imps"": 6, ""real_demand_returned"": 8, ""oppos"": 33059, ""total_bids"": 8, ""Loss_Totals"": 2, ""fill_rate"": 0.0, ""Requests"": 8435, ""render_rate"": 75.0, ""win_rate"": 100.0, ""candidates"": 8}","2025-08-04 20:26:36.626808"
2025-07-03,hnKMuEKjPDT8pOA2v6jG,Fox_Weather_FreeWheel_PSI_Deal,822229.0,1812375.0,883497.0,45.4,93.1,322347.0,"{""date_key"": ""2025-07-03"", ""deal_id"": ""hnKMuEKjPDT8pOA2v6jG"", ""deal_name"": ""Fox_Weather_FreeWheel_PSI_Deal"", ""imps"": 822229, ""real_demand_returned"": 2092016, ""oppos"": 1812375, ""total_bids"": 883497, ""Loss_Totals"": 1434847, ""fill_rate"": 45.4, ""Requests"": 322347, ""render_rate"": 93.1, ""win_rate"": 42.2, ""candidates"": 7984674}","2025-08-04 20:26:36.626821"
2025-07-03,pKIRnmGVxw8UfbI9TLKh,Fox_Local_PSI_Deal,2240192.0,14924845.0,2467171.0,15.0,90.8,3151564.0,"{""date_key"": ""2025-07-03"", ""deal_id"": ""pKIRnmGVxw8UfbI9TLKh"", ""deal_name"": ""Fox_Local_PSI_Deal"", ""imps"": 2240192, ""real_demand_returned"": 2928312, ""oppos"": 14924845, ""total_bids"": 2467171, ""Loss_Totals"": 970740, ""fill_rate"": 15.0, ""Requests"": 3151564, ""render_rate"": 90.8, ""win_rate"": 84.3, ""candidates"": 6838167}","2025-08-04 20:26:36.626838"
